Skola,skkods,Priekšmets,Kopvērtējums
Ādažu vidusskola,1133301,ANG12,65.30%
Ādažu vidusskola,1133301,MAT12,55.59%
Ādažu vidusskola,1133301,LAT12,56.57%
Āgenskalna Valsts ģimnāzija,8761103,ANG12,79.10%
Āgenskalna Valsts ģimnāzija,8761103,MAT12,69.09%
Āgenskalna Valsts ģimnāzija,8761103,LAT12,78.76%
Aglonas internātvidusskola,181401,ANG12,29.55%
Aglonas internātvidusskola,181401,MAT12,21.25%
Aglonas internātvidusskola,181401,LAT12,55.92%
Aglonas Katoļu ģimnāzija,151402,MAT12,46.25%
Aglonas Katoļu ģimnāzija,151402,LAT12,60.55%
Aglonas vidusskola,131403,ANG12,60.31%
Aglonas vidusskola,131403,MAT12,54.44%
Aglonas vidusskola,131403,LAT12,65.35%
Aizkraukles 1. vidusskola,233301,ANG12,52.97%
Aizkraukles 1. vidusskola,233301,MAT12,37.58%
Aizkraukles 1. vidusskola,233301,LAT12,43.19%
Aizkraukles novada ģimnāzija,251303,ANG12,64.15%
Aizkraukles novada ģimnāzija,251303,MAT12,50.08%
Aizkraukles novada ģimnāzija,251303,LAT12,60.52%
Aizkraukles Profesionālā vidusskola,271309,ANG12,31.80%
Aizkraukles Profesionālā vidusskola,271309,MAT12,34.67%
Aizkraukles Profesionālā vidusskola,271309,LAT12,34.52%
Aizkraukles Vakara (maiņu) vidusskola,241306,ANG12,46.36%
Aizkraukles Vakara (maiņu) vidusskola,241306,MAT12,26.40%
Aizkraukles Vakara (maiņu) vidusskola,241306,LAT12,44.05%
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,ANG12,58.50%
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,MAT12,38.75%
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,LAT12,49.62%
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,ANG12,28.18%
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,MAT12,28.33%
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,LAT12,40.33%
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,ANG12,27.58%
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,MAT12,23.75%
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,LAT12,51.55%
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,ANG12,49.43%
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,MAT12,24.22%
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,LAT12,60.69%
Aizputes vidusskola,331306,ANG12,51.63%
Aizputes vidusskola,331306,MAT12,46.94%
Aizputes vidusskola,331306,LAT12,63.22%
Aknīstes vidusskola,431301,ANG12,65.72%
Aknīstes vidusskola,431301,MAT12,42.89%
Aknīstes vidusskola,431301,LAT12,62.95%
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,ANG12,48.76%
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,MAT12,36.12%
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,LAT12,60.77%
Alojas Ausekļa vidusskola,531301,ANG12,49.64%
Alojas Ausekļa vidusskola,531301,MAT12,33.33%
Alojas Ausekļa vidusskola,531301,LAT12,62.84%
Alsungas vidusskola,631301,ANG12,29.72%
Alsungas vidusskola,631301,MAT12,27.97%
Alsungas vidusskola,631301,LAT12,52.08%
Alūksnes novada vidusskola,731323,ANG12,38.10%
Alūksnes novada vidusskola,731323,MAT12,25.18%
Alūksnes novada vidusskola,731323,LAT12,49.04%
Andreja Eglīša Ļaudonas vidusskola,6331413,ANG12,48.29%
Andreja Eglīša Ļaudonas vidusskola,6331413,MAT12,35.86%
Andreja Eglīša Ļaudonas vidusskola,6331413,LAT12,43.12%
Andreja Upīša Skrīveru vidusskola,10231401,ANG12,61.52%
Andreja Upīša Skrīveru vidusskola,10231401,MAT12,60.69%
Andreja Upīša Skrīveru vidusskola,10231401,LAT12,63.77%
Ata Kronvalda Durbes vidusskola,2931302,ANG12,53.84%
Ata Kronvalda Durbes vidusskola,2931302,MAT12,36.74%
Ata Kronvalda Durbes vidusskola,2931302,LAT12,49.32%
Auces vidusskola,1031301,ANG12,51.97%
Auces vidusskola,1031301,MAT12,45.55%
Auces vidusskola,1031301,LAT12,56.61%
Augstkalnes vidusskola,10831402,ANG12,43.37%
Augstkalnes vidusskola,10831402,MAT12,40.76%
Augstkalnes vidusskola,10831402,LAT12,54.81%
Babītes vidusskola,1231402,ANG12,69.79%
Babītes vidusskola,1231402,MAT12,68.22%
Babītes vidusskola,1231402,LAT12,56.84%
Baldones vidusskola,1331302,ANG12,66.28%
Baldones vidusskola,1331302,MAT12,48.51%
Baldones vidusskola,1331302,LAT12,66.48%
Baltinavas vidusskola,1431302,ANG12,55.86%
Baltinavas vidusskola,1431302,MAT12,56.09%
Baltinavas vidusskola,1431302,LAT12,64.58%
Balvu AMAT12niecības vidusskola,1531302,ANG12,51.68%
Balvu AMAT12niecības vidusskola,1531302,MAT12,44.98%
Balvu AMAT12niecības vidusskola,1531302,LAT12,51.56%
Balvu Valsts ģimnāzija,1561305,ANG12,65.28%
Balvu Valsts ģimnāzija,1561305,MAT12,51.89%
Balvu Valsts ģimnāzija,1561305,LAT12,66.64%
Barkavas Profesionālā vidusskola,6371401,ANG12,32.17%
Barkavas Profesionālā vidusskola,6371401,MAT12,25.31%
Barkavas Profesionālā vidusskola,6371401,LAT12,40.94%
Bauskas 2. vidusskola,1631302,ANG12,61.48%
Bauskas 2. vidusskola,1631302,MAT12,49.94%
Bauskas 2. vidusskola,1631302,LAT12,53.06%
Bauskas Valsts ģimnāzija,1661301,ANG12,71.52%
Bauskas Valsts ģimnāzija,1661301,MAT12,62.74%
Bauskas Valsts ģimnāzija,1661301,LAT12,65.56%
Bebrenes Profesionālā vidusskola,3771401,ANG12,37.46%
Bebrenes Profesionālā vidusskola,3771401,MAT12,31.87%
Bebrenes Profesionālā vidusskola,3771401,LAT12,49.05%
Bebrenes vidusskola,3731402,ANG12,63.75%
Bebrenes vidusskola,3731402,MAT12,67.58%
Bebrenes vidusskola,3731402,LAT12,79.40%
Bēnes vidusskola,1031402,ANG12,41.74%
Bēnes vidusskola,1031402,MAT12,23.21%
Bēnes vidusskola,1031402,LAT12,49.60%
Bērzpils vidusskola,1531407,ANG12,60.54%
Bērzpils vidusskola,1531407,MAT12,55.26%
Bērzpils vidusskola,1531407,LAT12,69.44%
Biznesa un vadības privātvidusskola,8633102,ANG12,45.83%
Biznesa un vadības privātvidusskola,8633102,MAT12,16.25%
Biznesa un vadības privātvidusskola,8633102,LAT12,28.55%
Brāļu Skrindu Atašienes vidusskola,5231402,ANG12,31.17%
Brāļu Skrindu Atašienes vidusskola,5231402,MAT12,62.65%
Brāļu Skrindu Atašienes vidusskola,5231402,LAT12,61.11%
Brocēnu vidusskola,1831302,ANG12,59.91%
Brocēnu vidusskola,1831302,MAT12,44.69%
Brocēnu vidusskola,1831302,LAT12,59.04%
Burtnieku Ausekļa vidusskola,1931401,ANG12,52.70%
Burtnieku Ausekļa vidusskola,1931401,MAT12,48.66%
Burtnieku Ausekļa vidusskola,1931401,LAT12,70.23%
Cēsu 2. vidusskola,2231306,ANG12,46.24%
Cēsu 2. vidusskola,2231306,MAT12,24.04%
Cēsu 2. vidusskola,2231306,LAT12,55.86%
Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,11631401,ANG12,42.47%
Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,11631401,MAT12,17.68%
Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,11631401,LAT12,41.34%
Cēsu Profesionālā vidusskola,2271311,ANG12,41.20%
Cēsu Profesionālā vidusskola,2271311,MAT12,31.19%
Cēsu Profesionālā vidusskola,2271311,LAT12,44.95%
Cēsu Valsts ģimnāzija,2261313,ANG12,70.28%
Cēsu Valsts ģimnāzija,2261313,MAT12,61.78%
Cēsu Valsts ģimnāzija,2261313,LAT12,74.10%
Cesvaines vidusskola,2131302,ANG12,62.51%
Cesvaines vidusskola,2131302,MAT12,56.33%
Cesvaines vidusskola,2131302,LAT12,71.92%
Ciblas vidusskola,2331402,ANG12,54.35%
Ciblas vidusskola,2331402,MAT12,46.99%
Ciblas vidusskola,2331402,LAT12,66.16%
Cīravas Profesionālā vidusskola,371408,ANG12,30.35%
Cīravas Profesionālā vidusskola,371408,MAT12,22.86%
Cīravas Profesionālā vidusskola,371408,LAT12,39.87%
Dagdas vidusskola,2431306,ANG12,59.29%
Dagdas vidusskola,2431306,MAT12,51.48%
Dagdas vidusskola,2431306,LAT12,62.31%
Daugavpils 10. vidusskola,2632203,ANG12,59.49%
Daugavpils 10. vidusskola,2632203,MAT12,55.55%
Daugavpils 10. vidusskola,2632203,LAT12,44.73%
Daugavpils 12. vidusskola,2631205,ANG12,55.92%
Daugavpils 12. vidusskola,2631205,MAT12,42.04%
Daugavpils 12. vidusskola,2631205,LAT12,57.38%
Daugavpils 13. vidusskola,2633206,ANG12,63.81%
Daugavpils 13. vidusskola,2633206,MAT12,67.91%
Daugavpils 13. vidusskola,2633206,LAT12,40.18%
Daugavpils 15. vidusskola,2632207,ANG12,47.83%
Daugavpils 15. vidusskola,2632207,MAT12,60.23%
Daugavpils 15. vidusskola,2632207,LAT12,44.83%
Daugavpils 16. vidusskola,2633208,ANG12,52.91%
Daugavpils 16. vidusskola,2633208,MAT12,54.40%
Daugavpils 16. vidusskola,2633208,LAT12,42.77%
Daugavpils 17. vidusskola,2633209,ANG12,27.92%
Daugavpils 17. vidusskola,2633209,MAT12,26.25%
Daugavpils 17. vidusskola,2633209,LAT12,33.36%
Daugavpils 3. vidusskola,2632210,ANG12,67.78%
Daugavpils 3. vidusskola,2632210,MAT12,69.36%
Daugavpils 3. vidusskola,2632210,LAT12,49.21%
Daugavpils 9. vidusskola,2633215,ANG12,65.42%
Daugavpils 9. vidusskola,2633215,MAT12,68.05%
Daugavpils 9. vidusskola,2633215,LAT12,49.30%
Daugavpils Celtnieku profesionālā vidusskola,2671216,ANG12,23.97%
Daugavpils Celtnieku profesionālā vidusskola,2671216,MAT12,16.62%
Daugavpils Celtnieku profesionālā vidusskola,2671216,LAT12,19.05%
Daugavpils Centra vidusskola,2632290,ANG12,54.00%
Daugavpils Centra vidusskola,2632290,MAT12,60.65%
Daugavpils Centra vidusskola,2632290,LAT12,41.70%
"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,ANG12,32.53%
"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,MAT12,25.65%
"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,LAT12,44.44%
Daugavpils Krievu vidusskola - licejs,2652217,ANG12,76.31%
Daugavpils Krievu vidusskola - licejs,2652217,MAT12,79.93%
Daugavpils Krievu vidusskola - licejs,2652217,LAT12,70.69%
Daugavpils Mūzikas vidusskola,2671221,ANG12,51.79%
Daugavpils Mūzikas vidusskola,2671221,MAT12,54.18%
Daugavpils Mūzikas vidusskola,2671221,LAT12,57.84%
Daugavpils Profesionālā vidusskola,2671231,ANG12,30.49%
Daugavpils Profesionālā vidusskola,2671231,MAT12,26.13%
Daugavpils Profesionālā vidusskola,2671231,LAT12,31.23%
Daugavpils Universitāte,2691228,ANG12,44.98%
Daugavpils Valsts ģimnāzija,2661226,ANG12,68.74%
Daugavpils Valsts ģimnāzija,2661226,MAT12,69.99%
Daugavpils Valsts ģimnāzija,2661226,LAT12,73.27%
Dāvja Ozoliņa Apes vidusskola,931301,ANG12,63.32%
Dāvja Ozoliņa Apes vidusskola,931301,MAT12,45.55%
Dāvja Ozoliņa Apes vidusskola,931301,LAT12,59.65%
Dobeles 1. vidusskola,2731307,ANG12,50.95%
Dobeles 1. vidusskola,2731307,MAT12,34.48%
Dobeles 1. vidusskola,2731307,LAT12,52.63%
Dobeles AMAT12niecības un vispārizglītojošā vidusskola,2771322,ANG12,39.90%
Dobeles AMAT12niecības un vispārizglītojošā vidusskola,2771322,MAT12,16.65%
Dobeles AMAT12niecības un vispārizglītojošā vidusskola,2771322,LAT12,36.46%
Dobeles AMAT12niecības un vispārizglītojošā vidusskola. Apguldes mācību komplekss.,2771402,ANG12,31.09%
Dobeles AMAT12niecības un vispārizglītojošā vidusskola. Apguldes mācību komplekss.,2771402,MAT12,14.64%
Dobeles AMAT12niecības un vispārizglītojošā vidusskola. Apguldes mācību komplekss.,2771402,LAT12,32.22%
Dobeles Valsts ģimnāzija,2761312,ANG12,72.99%
Dobeles Valsts ģimnāzija,2761312,MAT12,65.36%
Dobeles Valsts ģimnāzija,2761312,LAT12,66.40%
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,ANG12,70.25%
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,MAT12,53.31%
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,LAT12,72.68%
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,ANG12,62.16%
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,MAT12,48.37%
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,LAT12,69.39%
Dricānu vidusskola,8031406,ANG12,58.59%
Dricānu vidusskola,8031406,MAT12,44.78%
Dricānu vidusskola,8031406,LAT12,45.04%
Dundagas vidusskola,2831401,ANG12,70.97%
Dundagas vidusskola,2831401,MAT12,51.96%
Dundagas vidusskola,2831401,LAT12,65.00%
Dzērbenes vidusskola,11631402,ANG12,44.91%
Dzērbenes vidusskola,11631402,MAT12,16.25%
Dzērbenes vidusskola,11631402,LAT12,49.99%
Edgara Kauliņa Lielvārdes vidusskola,5631301,ANG12,71.41%
Edgara Kauliņa Lielvārdes vidusskola,5631301,MAT12,49.37%
Edgara Kauliņa Lielvārdes vidusskola,5631301,LAT12,69.15%
Eiropas Tālmācības vidusskola,8543151,ANG12,54.19%
Eiropas Tālmācības vidusskola,8543151,MAT12,24.00%
Eiropas Tālmācības vidusskola,8543151,LAT12,35.94%
Elejas vidusskola,4231402,ANG12,70.74%
Elejas vidusskola,4231402,MAT12,57.02%
Elejas vidusskola,4231402,LAT12,58.93%
Emīla Dārziņa mūzikas vidusskola,8471104,ANG12,73.70%
Emīla Dārziņa mūzikas vidusskola,8471104,MAT12,48.44%
Emīla Dārziņa mūzikas vidusskola,8471104,LAT12,69.81%
Emiļa Melngaiļa Liepājas mūzikas vidusskola,5771202,ANG12,56.30%
Emiļa Melngaiļa Liepājas mūzikas vidusskola,5771202,MAT12,30.72%
Emiļa Melngaiļa Liepājas mūzikas vidusskola,5771202,LAT12,62.38%
Engures vidusskola,3031401,ANG12,48.46%
Engures vidusskola,3031401,MAT12,35.79%
Engures vidusskola,3031401,LAT12,65.51%
Ērgļu Profesionālā vidusskola,3171401,ANG12,34.36%
Ērgļu Profesionālā vidusskola,3171401,MAT12,14.51%
Ērgļu Profesionālā vidusskola,3171401,LAT12,41.92%
Ērgļu vidusskola,3131402,ANG12,62.47%
Ērgļu vidusskola,3131402,MAT12,52.35%
Ērgļu vidusskola,3131402,LAT12,69.40%
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,ANG12,74.37%
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,MAT12,56.25%
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,LAT12,68.75%
Ezernieku vidusskola,2431407,ANG12,65.02%
Ezernieku vidusskola,2431407,MAT12,61.62%
Ezernieku vidusskola,2431407,LAT12,55.66%
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,ANG12,54.76%
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,MAT12,25.98%
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,LAT12,41.03%
Grobiņas ģimnāzija,3351303,ANG12,69.11%
Grobiņas ģimnāzija,3351303,MAT12,61.52%
Grobiņas ģimnāzija,3351303,LAT12,68.35%
Gulbenes 2. vidusskola,3431304,ANG12,52.34%
Gulbenes 2. vidusskola,3431304,MAT12,37.65%
Gulbenes 2. vidusskola,3431304,LAT12,54.49%
Gulbenes novada valsts ģimnāzija,3461306,ANG12,75.14%
Gulbenes novada valsts ģimnāzija,3461306,MAT12,64.88%
Gulbenes novada valsts ģimnāzija,3461306,LAT12,67.72%
Gulbenes Vakara (maiņu) vidusskola,3441307,ANG12,37.70%
Gulbenes Vakara (maiņu) vidusskola,3441307,MAT12,25.26%
Gulbenes Vakara (maiņu) vidusskola,3441307,LAT12,38.18%
Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,ANG12,40.68%
Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,MAT12,20.89%
Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,LAT12,42.87%
Gulbenes vidusskola,3431309,ANG12,52.25%
Gulbenes vidusskola,3431309,MAT12,38.06%
Gulbenes vidusskola,3431309,LAT12,50.68%
Gulbīša vidusskola,3431410,ANG12,55.44%
Gulbīša vidusskola,3431410,MAT12,67.50%
Gulbīša vidusskola,3431410,LAT12,69.02%
Habad Ebreju privātā vidusskola,8532102,ANG12,65.21%
Habad Ebreju privātā vidusskola,8532102,MAT12,67.34%
Habad Ebreju privātā vidusskola,8532102,LAT12,44.44%
Humanitārā privātģimnāzija,8531103,ANG12,65.16%
Humanitārā privātģimnāzija,8531103,MAT12,36.35%
Humanitārā privātģimnāzija,8531103,LAT12,48.85%
Iecavas vidusskola,3531303,ANG12,64.01%
Iecavas vidusskola,3531303,MAT12,48.51%
Iecavas vidusskola,3531303,LAT12,60.48%
Ikšķiles vidusskola,3631301,ANG12,76.41%
Ikšķiles vidusskola,3631301,MAT12,54.57%
Ikšķiles vidusskola,3631301,LAT12,60.75%
Ilmāra Gaiša Kokneses vidusskola,4931403,ANG12,74.12%
Ilmāra Gaiša Kokneses vidusskola,4931403,MAT12,53.30%
Ilmāra Gaiša Kokneses vidusskola,4931403,LAT12,65.26%
Ilūkstes 1. vidusskola,3731304,ANG12,63.30%
Ilūkstes 1. vidusskola,3731304,MAT12,64.91%
Ilūkstes 1. vidusskola,3731304,LAT12,70.71%
Ilūkstes Sadraudzības vidusskola,3733307,ANG12,33.75%
Ilūkstes Sadraudzības vidusskola,3733307,MAT12,31.92%
Ilūkstes Sadraudzības vidusskola,3733307,LAT12,31.41%
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,ANG12,59.39%
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,MAT12,38.99%
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,LAT12,38.97%
Irlavas vidusskola,10931404,ANG12,42.55%
Irlavas vidusskola,10931404,MAT12,35.23%
Irlavas vidusskola,10931404,LAT12,49.54%
Īslīces vidusskola,1631411,ANG12,54.30%
Īslīces vidusskola,1631411,MAT12,58.61%
Īslīces vidusskola,1631411,LAT12,65.74%
Istras vidusskola,6233403,ANG12,51.81%
Istras vidusskola,6233403,MAT12,50.39%
Istras vidusskola,6233403,LAT12,40.76%
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,ANG12,65.62%
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,MAT12,44.34%
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,LAT12,60.80%
J. Raiņa Daugavpils 6. vidusskola,2632228,ANG12,43.33%
J. Raiņa Daugavpils 6. vidusskola,2632228,MAT12,53.78%
J. Raiņa Daugavpils 6. vidusskola,2632228,LAT12,36.52%
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,ANG12,57.69%
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,MAT12,59.29%
J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,LAT12,54.37%
Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,ANG12,47.91%
Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,MAT12,40.62%
Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,LAT12,68.38%
Jaņa Rozentāla Rīgas Mākslas vidusskola,8471102,ANG12,72.40%
Jaņa Rozentāla Rīgas Mākslas vidusskola,8471102,MAT12,53.83%
Jaņa Rozentāla Rīgas Mākslas vidusskola,8471102,LAT12,75.64%
Jaungulbenes Professionālā vidusskola,3471411,ANG12,37.14%
Jaungulbenes Professionālā vidusskola,3471411,MAT12,21.74%
Jaungulbenes Professionālā vidusskola,3471411,LAT12,49.48%
Jaunjelgavas vidusskola,3931302,ANG12,57.41%
Jaunjelgavas vidusskola,3931302,MAT12,39.23%
Jaunjelgavas vidusskola,3931302,LAT12,60.67%
Jaunogres vidusskola,7033301,ANG12,60.16%
Jaunogres vidusskola,7033301,MAT12,65.00%
Jaunogres vidusskola,7033301,LAT12,52.61%
Jaunpiebalgas vidusskola,4031401,ANG12,49.50%
Jaunpiebalgas vidusskola,4031401,MAT12,32.89%
Jaunpiebalgas vidusskola,4031401,LAT12,56.77%
Jaunpils vidusskola,4131401,ANG12,53.15%
Jaunpils vidusskola,4131401,MAT12,45.12%
Jaunpils vidusskola,4131401,LAT12,59.55%
