Skola,skkods,Priekšmets,Kopvērtējums
Rīgas Sergeja Žoltoka vidusskola (š.cietums),8582142,MAT12,40.94%
Rīgas Sergeja Žoltoka vidusskola (š.cietums),8582142,LAT12,30.13%
Rīgas Stila un modes profesionālā vidusskola,8671140,ANG12,39.85%
Rīgas Stila un modes profesionālā vidusskola,8671140,MAT12,23.02%
Rīgas Stila un modes profesionālā vidusskola,8671140,LAT12,48.65%
Rīgas Tālmācības vidusskola,8541105,ANG12,61.55%
Rīgas Tālmācības vidusskola,8541105,MAT12,26.34%
Rīgas Tālmācības vidusskola,8541105,LAT12,50.95%
Rīgas Tehniskā koledža,8671141,ANG12,54.98%
Rīgas Tehniskā koledža,8671141,MAT12,34.36%
Rīgas Tehniskā koledža,8671141,LAT12,47.61%
Rīgas Teikas vidusskola,8631143,ANG12,72.68%
Rīgas Teikas vidusskola,8631143,MAT12,58.23%
Rīgas Teikas vidusskola,8631143,LAT12,65.74%
Rīgas Tirdzniecības profesionālā vidusskola,8671125,ANG12,47.56%
Rīgas Tirdzniecības profesionālā vidusskola,8671125,MAT12,28.73%
Rīgas Tirdzniecības profesionālā vidusskola,8671125,LAT12,48.25%
Rīgas Ukraiņu vidusskola,8534145,ANG12,63.26%
Rīgas Ukraiņu vidusskola,8534145,MAT12,45.90%
Rīgas Ukraiņu vidusskola,8534145,LAT12,48.39%
Rīgas Uzņēmējdarbības koledža,8871119,ANG12,44.66%
Rīgas Uzņēmējdarbības koledža,8871119,MAT12,22.69%
Rīgas Uzņēmējdarbības koledža,8871119,LAT12,47.27%
Rīgas Uzņēmējdarbības tehniskā vidusskola,8871128,ANG12,35.72%
Rīgas Uzņēmējdarbības tehniskā vidusskola,8871128,MAT12,23.33%
Rīgas Uzņēmējdarbības tehniskā vidusskola,8871128,LAT12,14.99%
Rīgas vakara ģimnāzija,8543147,ANG12,47.27%
Rīgas vakara ģimnāzija,8543147,MAT12,32.13%
Rīgas vakara ģimnāzija,8543147,LAT12,42.79%
Rīgas Valsts 1. ģimnāzija,8361130,ANG12,87.09%
Rīgas Valsts 1. ģimnāzija,8361130,MAT12,90.76%
Rīgas Valsts 1. ģimnāzija,8361130,LAT12,78.86%
Rīgas Valsts 2. ģimnāzija,8861121,ANG12,81.28%
Rīgas Valsts 2. ģimnāzija,8861121,MAT12,64.55%
Rīgas Valsts 2. ģimnāzija,8861121,LAT12,75.67%
Rīgas Valsts 3. ģimnāzija,8361131,ANG12,79.70%
Rīgas Valsts 3. ģimnāzija,8361131,MAT12,70.82%
Rīgas Valsts 3. ģimnāzija,8361131,LAT12,76.83%
Rīgas Valsts vācu ģimnāzija,8461134,ANG12,76.94%
Rīgas Valsts vācu ģimnāzija,8461134,MAT12,59.89%
Rīgas Valsts vācu ģimnāzija,8461134,LAT12,68.74%
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,ANG12,58.81%
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,MAT12,47.73%
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,LAT12,32.77%
Rīgas Zolitūdes ģimnāzija,8752125,ANG12,68.34%
Rīgas Zolitūdes ģimnāzija,8752125,MAT12,63.04%
Rīgas Zolitūdes ģimnāzija,8752125,LAT12,50.56%
Rojas vidusskola,8931402,ANG12,65.64%
Rojas vidusskola,8931402,MAT12,62.00%
Rojas vidusskola,8931402,LAT12,70.88%
Ropažu vidusskola,9031301,ANG12,60.80%
Ropažu vidusskola,9031301,MAT12,37.87%
Ropažu vidusskola,9031301,LAT12,50.99%
Rudzātu vidusskola,6031408,ANG12,66.80%
Rudzātu vidusskola,6031408,MAT12,70.83%
Rudzātu vidusskola,6031408,LAT12,65.60%
Rugāju novada vidusskola,9231402,ANG12,54.93%
Rugāju novada vidusskola,9231402,MAT12,61.97%
Rugāju novada vidusskola,9231402,LAT12,67.22%
Rūjienas vidusskola,9431304,ANG12,57.84%
Rūjienas vidusskola,9431304,MAT12,40.94%
Rūjienas vidusskola,9431304,LAT12,55.72%
Sabiles vidusskola,10731311,ANG12,39.79%
Sabiles vidusskola,10731311,MAT12,21.51%
Sabiles vidusskola,10731311,LAT12,42.22%
Salacgrīvas vidusskola,9531303,ANG12,63.48%
Salacgrīvas vidusskola,9531303,MAT12,54.61%
Salacgrīvas vidusskola,9531303,LAT12,58.28%
Salas vidusskola,9631404,ANG12,57.54%
Salas vidusskola,9631404,MAT12,51.12%
Salas vidusskola,9631404,LAT12,69.61%
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,ANG12,60.23%
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,MAT12,44.21%
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,LAT12,60.44%
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,ANG12,51.78%
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,MAT12,39.88%
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,LAT12,37.79%
Saldus 1.vidusskola,9831303,ANG12,71.06%
Saldus 1.vidusskola,9831303,MAT12,57.03%
Saldus 1.vidusskola,9831303,LAT12,67.39%
Saldus 2. vidusskola,9831302,ANG12,63.98%
Saldus 2. vidusskola,9831302,MAT12,47.10%
Saldus 2. vidusskola,9831302,LAT12,69.26%
Saldus novada pašvaldības Druvas vidusskola,9831405,ANG12,67.68%
Saldus novada pašvaldības Druvas vidusskola,9831405,MAT12,57.80%
Saldus novada pašvaldības Druvas vidusskola,9831405,LAT12,74.78%
Saldus novada pašvaldības Ezeres vidusskola,9831406,ANG12,38.15%
Saldus novada pašvaldības Ezeres vidusskola,9831406,MAT12,26.63%
Saldus novada pašvaldības Ezeres vidusskola,9831406,LAT12,49.77%
Saldus novada pašvaldības Kalnu vidusskola,9831408,ANG12,49.69%
Saldus novada pašvaldības Kalnu vidusskola,9831408,MAT12,59.89%
Saldus novada pašvaldības Kalnu vidusskola,9831408,LAT12,50.30%
Saldus Profesionālā vidusskola,9871320,ANG12,38.36%
Saldus Profesionālā vidusskola,9871320,MAT12,24.79%
Saldus Profesionālā vidusskola,9871320,LAT12,43.06%
Saldus Vakara vidusskola,9841322,ANG12,48.93%
Saldus Vakara vidusskola,9841322,MAT12,26.15%
Saldus Vakara vidusskola,9841322,LAT12,50.26%
Salienas vidusskola,2533412,ANG12,41.52%
Salienas vidusskola,2533412,MAT12,58.89%
Salienas vidusskola,2533412,LAT12,47.34%
Saulaines Profesionālā vidusskola,9371402,ANG12,34.62%
Saulaines Profesionālā vidusskola,9371402,MAT12,20.49%
Saulaines Profesionālā vidusskola,9371402,LAT12,38.97%
Saulkrastu vidusskola,9931301,ANG12,62.20%
Saulkrastu vidusskola,9931301,MAT12,49.87%
Saulkrastu vidusskola,9931301,LAT12,56.55%
Siguldas pilsētas vidusskola,10133311,ANG12,47.99%
Siguldas pilsētas vidusskola,10133311,MAT12,40.70%
Siguldas pilsētas vidusskola,10133311,LAT12,49.94%
Siguldas Valsts ģimnāzija,10161310,ANG12,75.56%
Siguldas Valsts ģimnāzija,10161310,MAT12,69.57%
Siguldas Valsts ģimnāzija,10161310,LAT12,74.75%
Skaistkalnes vidusskola,11731403,ANG12,57.14%
Skaistkalnes vidusskola,11731403,MAT12,26.37%
Skaistkalnes vidusskola,11731403,LAT12,49.81%
Skrundas Profesionālā vidusskola,10371406,ANG12,30.01%
Skrundas Profesionālā vidusskola,10371406,MAT12,21.41%
Skrundas Profesionālā vidusskola,10371406,LAT12,39.99%
Skrundas vidusskola,10331307,ANG12,66.67%
Skrundas vidusskola,10331307,MAT12,61.25%
Skrundas vidusskola,10331307,LAT12,72.22%
Smiltenes Centra vidusskola,10431309,ANG12,62.33%
Smiltenes Centra vidusskola,10431309,MAT12,48.54%
Smiltenes Centra vidusskola,10431309,LAT12,59.73%
Smiltenes ģimnāzija,10451310,ANG12,67.17%
Smiltenes ģimnāzija,10451310,MAT12,60.24%
Smiltenes ģimnāzija,10451310,LAT12,65.28%
Smiltenes tehnikums,10471412,ANG12,33.55%
Smiltenes tehnikums,10471412,MAT12,17.86%
Smiltenes tehnikums,10471412,LAT12,39.94%
Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola,4671220,ANG12,53.46%
Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola,4671220,MAT12,37.55%
Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola,4671220,LAT12,55.21%
Staiceles vidusskola,531304,ANG12,46.64%
Staiceles vidusskola,531304,MAT12,25.00%
Staiceles vidusskola,531304,LAT12,51.20%
Stalbes vidusskola,7331405,ANG12,35.42%
Stalbes vidusskola,7331405,MAT12,17.36%
Stalbes vidusskola,7331405,LAT12,40.55%
Staļģenes vidusskola,4231418,ANG12,34.58%
Staļģenes vidusskola,4231418,MAT12,24.00%
Staļģenes vidusskola,4231418,LAT12,30.91%
Starptautiskā komercialā profesionalā vidusskola,8671127,ANG12,46.89%
Starptautiskā komercialā profesionalā vidusskola,8671127,MAT12,30.14%
Starptautiskā komercialā profesionalā vidusskola,8671127,LAT12,37.46%
Strenču novada vidusskola,10633303,ANG12,43.96%
Strenču novada vidusskola,10633303,MAT12,43.12%
Strenču novada vidusskola,10633303,LAT12,54.13%
Suntažu vidusskola,7031418,ANG12,63.91%
Suntažu vidusskola,7031418,MAT12,59.65%
Suntažu vidusskola,7031418,LAT12,60.55%
Sventes vidusskola,2531415,ANG12,48.14%
Sventes vidusskola,2531415,MAT12,44.76%
Sventes vidusskola,2531415,LAT12,33.82%
Š. Dubnova Rīgas Ebreju vidusskola,8632145,ANG12,71.86%
Š. Dubnova Rīgas Ebreju vidusskola,8632145,MAT12,76.94%
Š. Dubnova Rīgas Ebreju vidusskola,8632145,LAT12,50.44%
Špoģu vidusskola,2533416,ANG12,62.91%
Špoģu vidusskola,2533416,MAT12,72.50%
Špoģu vidusskola,2533416,LAT12,69.08%
"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,ANG12,58.89%
"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,MAT12,34.20%
"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,LAT12,47.79%
Talsu 2. vidusskola,10731316,ANG12,62.24%
Talsu 2. vidusskola,10731316,MAT12,47.83%
Talsu 2. vidusskola,10731316,LAT12,63.25%
Talsu Kristīgā vidusskola,10731317,ANG12,74.91%
Talsu Kristīgā vidusskola,10731317,MAT12,54.71%
Talsu Kristīgā vidusskola,10731317,LAT12,72.77%
Talsu novada Vakara un neklātienes vidusskola,10741318,ANG12,47.27%
Talsu novada Vakara un neklātienes vidusskola,10741318,MAT12,23.61%
Talsu novada Vakara un neklātienes vidusskola,10741318,LAT12,46.70%
Talsu Valsts ģimnāzija,10761321,ANG12,65.40%
Talsu Valsts ģimnāzija,10761321,MAT12,52.20%
Talsu Valsts ģimnāzija,10761321,LAT12,68.80%
Tilžas vidusskola,1531415,ANG12,64.48%
Tilžas vidusskola,1531415,MAT12,61.70%
Tilžas vidusskola,1531415,LAT12,64.29%
Tiskādu vidusskola,8032432,ANG12,47.54%
Tiskādu vidusskola,8032432,MAT12,40.06%
Tiskādu vidusskola,8032432,LAT12,36.83%
Tukuma 2. vidusskola,10931313,ANG12,54.70%
Tukuma 2. vidusskola,10931313,MAT12,38.20%
Tukuma 2. vidusskola,10931313,LAT12,52.35%
Tukuma Raiņa ģimnāzija,10951317,ANG12,64.34%
Tukuma Raiņa ģimnāzija,10951317,MAT12,52.50%
Tukuma Raiņa ģimnāzija,10951317,LAT12,71.38%
Tukuma Vakara un neklātienes vidusskola,10941319,ANG12,40.07%
Tukuma Vakara un neklātienes vidusskola,10941319,MAT12,20.27%
Tukuma Vakara un neklātienes vidusskola,10941319,LAT12,45.57%
Tumes vidusskola,10931420,ANG12,50.87%
Tumes vidusskola,10931420,MAT12,41.06%
Tumes vidusskola,10931420,LAT12,57.30%
Ugāles vidusskola,11831408,ANG12,51.23%
Ugāles vidusskola,11831408,MAT12,42.24%
Ugāles vidusskola,11831408,LAT12,52.22%
Ulbrokas vidusskola,10531303,ANG12,67.58%
Ulbrokas vidusskola,10531303,MAT12,44.15%
Ulbrokas vidusskola,10531303,LAT12,63.72%
Uzvaras vidusskola,1631419,ANG12,72.96%
Uzvaras vidusskola,1631419,MAT12,62.73%
Uzvaras vidusskola,1631419,LAT12,63.40%
V. Plūdoņa Kuldīgas ģimnāzija,5351318,ANG12,65.61%
V. Plūdoņa Kuldīgas ģimnāzija,5351318,MAT12,54.04%
V. Plūdoņa Kuldīgas ģimnāzija,5351318,LAT12,64.14%
Vaboles vidusskola,2531418,ANG12,56.79%
Vaboles vidusskola,2531418,MAT12,63.57%
Vaboles vidusskola,2531418,LAT12,66.42%
Vaiņodes vidusskola,11031402,ANG12,60.54%
Vaiņodes vidusskola,11031402,MAT12,54.87%
Vaiņodes vidusskola,11031402,LAT12,56.33%
Valdemārpils vidusskola,10731324,ANG12,48.02%
Valdemārpils vidusskola,10731324,MAT12,47.31%
Valdemārpils vidusskola,10731324,LAT12,64.95%
Valkas ģimnāzija,11151304,ANG12,69.13%
Valkas ģimnāzija,11151304,MAT12,47.92%
Valkas ģimnāzija,11151304,LAT12,60.05%
Valmieras 2. vidusskola,11333201,ANG12,57.57%
Valmieras 2. vidusskola,11333201,MAT12,53.16%
Valmieras 2. vidusskola,11333201,LAT12,45.58%
Valmieras 2.vidusskolas filiāle,11341202,ANG12,44.11%
Valmieras 2.vidusskolas filiāle,11341202,MAT12,23.04%
Valmieras 2.vidusskolas filiāle,11341202,LAT12,46.87%
Valmieras 5. vidusskola,11331204,ANG12,55.15%
Valmieras 5. vidusskola,11331204,MAT12,46.49%
Valmieras 5. vidusskola,11331204,LAT12,51.92%
Valmieras Mākslas vidusskola,11371205,ANG12,55.85%
Valmieras Mākslas vidusskola,11371205,MAT12,38.25%
Valmieras Mākslas vidusskola,11371205,LAT12,51.55%
Valmieras Pārgaujas ģimnāzija,11351207,ANG12,67.11%
Valmieras Pārgaujas ģimnāzija,11351207,MAT12,52.73%
Valmieras Pārgaujas ģimnāzija,11351207,LAT12,67.07%
Valmieras Profesionālā vidusskola,11371216,ANG12,35.69%
Valmieras Profesionālā vidusskola,11371216,MAT12,22.86%
Valmieras Profesionālā vidusskola,11371216,LAT12,51.38%
Valmieras Valsts ģimnāzija,11361212,ANG12,69.97%
Valmieras Valsts ģimnāzija,11361212,MAT12,60.38%
Valmieras Valsts ģimnāzija,11361212,LAT12,66.50%
Valmieras Viestura vidusskola,11331213,ANG12,64.93%
Valmieras Viestura vidusskola,11331213,MAT12,48.13%
Valmieras Viestura vidusskola,11331213,LAT12,67.74%
"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,ANG12,38.76%
"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,MAT12,26.70%
"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,LAT12,43.38%
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",8671146,ANG12,43.39%
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",8671146,MAT12,19.14%
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",8671146,LAT12,44.11%
VANG12ažu vidusskola,3833302,ANG12,49.72%
VANG12ažu vidusskola,3833302,MAT12,33.31%
VANG12ažu vidusskola,3833302,LAT12,50.16%
Varakļānu vidusskola,11431303,ANG12,54.98%
Varakļānu vidusskola,11431303,MAT12,40.19%
Varakļānu vidusskola,11431303,LAT12,62.08%
Vārkavas vidusskola,11531404,ANG12,52.18%
Vārkavas vidusskola,11531404,MAT12,40.09%
Vārkavas vidusskola,11531404,LAT12,56.98%
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,ANG12,34.59%
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,MAT12,18.16%
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,LAT12,47.74%
Vecpiebalgas vidusskola,11631405,ANG12,58.64%
Vecpiebalgas vidusskola,11631405,MAT12,38.01%
Vecpiebalgas vidusskola,11631405,LAT12,56.73%
Vecumnieku novada Domes Valles vidusskola,11731406,ANG12,54.21%
Vecumnieku novada Domes Valles vidusskola,11731406,MAT12,40.16%
Vecumnieku novada Domes Valles vidusskola,11731406,LAT12,69.44%
Vecumnieku vidusskola,11731407,ANG12,53.91%
Vecumnieku vidusskola,11731407,MAT12,48.04%
Vecumnieku vidusskola,11731407,LAT12,62.87%
Ventspils 1. ģimnāzija,11951203,ANG12,73.78%
Ventspils 1. ģimnāzija,11951203,MAT12,63.70%
Ventspils 1. ģimnāzija,11951203,LAT12,70.35%
Ventspils 2. vidusskola,11933206,ANG12,56.61%
Ventspils 2. vidusskola,11933206,MAT12,58.00%
Ventspils 2. vidusskola,11933206,LAT12,36.61%
Ventspils 3. vidusskola,11933207,ANG12,65.76%
Ventspils 3. vidusskola,11933207,MAT12,45.53%
Ventspils 3. vidusskola,11933207,LAT12,44.83%
Ventspils 4. vidusskola,11931208,ANG12,67.04%
Ventspils 4. vidusskola,11931208,MAT12,60.10%
Ventspils 4. vidusskola,11931208,LAT12,61.00%
Ventspils 5. vidusskola,11931209,ANG12,56.28%
Ventspils 5. vidusskola,11931209,MAT12,42.05%
Ventspils 5. vidusskola,11931209,LAT12,59.04%
Ventspils 6. vidusskola,11933210,ANG12,56.67%
Ventspils 6. vidusskola,11933210,MAT12,44.94%
Ventspils 6. vidusskola,11933210,LAT12,52.22%
Ventspils Mūzikas vidusskola,11971212,ANG12,60.59%
Ventspils Mūzikas vidusskola,11971212,MAT12,36.92%
Ventspils Mūzikas vidusskola,11971212,LAT12,57.77%
Ventspils Tehnikums,11971216,ANG12,43.40%
Ventspils Tehnikums,11971216,MAT12,23.25%
Ventspils Tehnikums,11971216,LAT12,44.65%
Ventspils vakara vidusskola,11943214,ANG12,51.42%
Ventspils vakara vidusskola,11943214,MAT12,26.55%
Ventspils vakara vidusskola,11943214,LAT12,43.53%
Viduslatgales Profesionālā vidusskola Dagda,2471305,ANG12,32.22%
Viduslatgales Profesionālā vidusskola Dagda,2471305,MAT12,45.42%
Viduslatgales Profesionālā vidusskola Dagda,2471305,LAT12,27.41%
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,ANG12,25.09%
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,MAT12,11.89%
Viduslatgales Profesionālā vidusskola Jaunaglona,171404,LAT12,24.66%
Viduslatgales Profesionālā vidusskola Preiļi,7671300,ANG12,26.81%
Viduslatgales Profesionālā vidusskola Preiļi,7671300,MAT12,15.86%
Viduslatgales Profesionālā vidusskola Preiļi,7671300,LAT12,36.85%
Viduslatgales Profesionālā vidusskola Višķi,2571419,ANG12,35.87%
Viduslatgales Profesionālā vidusskola Višķi,2571419,MAT12,30.75%
Viduslatgales Profesionālā vidusskola Višķi,2571419,LAT12,42.66%
Vidzemes Augstskola,11391212,ANG12,18.25%
Vidzemes Augstskola,11391212,MAT12,73.75%
Viesītes vidusskola,12031303,ANG12,46.76%
Viesītes vidusskola,12031303,MAT12,49.37%
Viesītes vidusskola,12031303,LAT12,58.46%
Viļakas Valsts ģimnāzija,12161321,ANG12,67.41%
Viļakas Valsts ģimnāzija,12161321,MAT12,71.17%
Viļakas Valsts ģimnāzija,12161321,LAT12,63.40%
Viļānu 41. arodvidusskola,8171302,ANG12,22.16%
Viļānu 41. arodvidusskola,8171302,MAT12,19.33%
Viļānu 41. arodvidusskola,8171302,LAT12,31.11%
Viļānu vidusskola,12233303,ANG12,46.95%
Viļānu vidusskola,12233303,MAT12,39.29%
Viļānu vidusskola,12233303,LAT12,50.08%
Zaļenieku komerciālā un aMAT12niecības vidusskola,4271424,ANG12,16.82%
Zaļenieku komerciālā un aMAT12niecības vidusskola,4271424,MAT12,16.29%
Zaļenieku komerciālā un aMAT12niecības vidusskola,4271424,LAT12,28.05%
Zasas vidusskola,4431409,ANG12,52.15%
Zasas vidusskola,4431409,MAT12,45.45%
Zasas vidusskola,4431409,LAT12,68.65%
Zemgales vidusskola,2532420,ANG12,32.83%
Zemgales vidusskola,2532420,MAT12,46.12%
Zemgales vidusskola,2532420,LAT12,47.88%
Zemgales vidusskola,10931421,ANG12,61.44%
Zemgales vidusskola,10931421,MAT12,43.02%
Zemgales vidusskola,10931421,LAT12,58.51%
Ziemeļvalstu ģimnāzija,8751128,ANG12,75.57%
Ziemeļvalstu ģimnāzija,8751128,MAT12,56.81%
Ziemeļvalstu ģimnāzija,8751128,LAT12,70.56%
Zilupes vidusskola,12333303,ANG12,54.01%
Zilupes vidusskola,12333303,MAT12,40.00%
Zilupes vidusskola,12333303,LAT12,43.61%
Zvejniekciema vidusskola,9931302,ANG12,68.28%
Zvejniekciema vidusskola,9931302,MAT12,60.10%
Zvejniekciema vidusskola,9931302,LAT12,74.53%
