IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Jelgavas cietums (strukt.),37.33%,2,MAT9
Jelgavas novada Neklātienes vidusskola,29.45%,11,MAT9
Jelgavas Spīdolas ģimnāzija,68.63%,89,MAT9
Jelgavas Tehnoloģiju vidusskola,41.95%,65,MAT9
Jelgavas Vakara (maiņu) vidusskola,33.33%,9,MAT9
Jelgavas Valsts ģimnāzija,62.67%,114,MAT9
Jersikas pamatskola,51.56%,6,MAT9
Jumpravas vidusskola,53.47%,20,MAT9
Jura Neikena Dikļu pamatskola,40.89%,9,MAT9
Jūrmalas Alternatīvā skola,82.13%,15,MAT9
Jūrmalas pilsētas Jaundubultu vidusskola,63.65%,23,MAT9
Jūrmalas pilsētas Kauguru vidusskola,56.55%,39,MAT9
Jūrmalas pilsētas Lielupes pamatskola,72.15%,9,MAT9
Jūrmalas pilsētas Mežmalas vidusskola,41.09%,38,MAT9
Jūrmalas vakara vidusskola,40.74%,9,MAT9
Jūrmalas Valsts ģimnāzija,69.92%,57,MAT9
K. Valdemāra pamatskola,29.78%,3,MAT9
Kalētu pamatskola,58.13%,5,MAT9
Kalnciema pagasta vidusskola,47.71%,14,MAT9
Kalnciema vidusskola,54.25%,19,MAT9
Kalsnavas pamatskola,50.48%,14,MAT9
Kalupes pamatskola,32.53%,5,MAT9
Kalvenes pamatskola,61.33%,3,MAT9
Kandavas internātvidusskola,61.73%,34,MAT9
Kandavas Kārļa Mīlenbaha vidusskola,60.43%,25,MAT9
Kandavas novada Zantes pamatskola,47.11%,9,MAT9
Kapsēdes pamatskola,52.13%,10,MAT9
Kārķu pamatskola,53.11%,6,MAT9
Kārsavas vidusskola,72.07%,20,MAT9
Kaunatas vidusskola,55.30%,19,MAT9
Kocēnu pamatskola,64.37%,18,MAT9
Kokneses internātpamatskola - attīstības centrs (prof.),44.00%,1,MAT9
Kolkas pamatskola,43.17%,8,MAT9
Krapes filiāle (strukt.),50.67%,4,MAT9
Krāslavas gr. Plāteru v.n. Poļu pamatskola,52.67%,4,MAT9
Krāslavas pamatskola,58.43%,23,MAT9
Krāslavas Valsts ģimnāzija,61.45%,22,MAT9
Krāslavas Varavīksnes vidusskola,50.21%,41,MAT9
Krimuldas vidusskola,57.75%,29,MAT9
Kristiāna Dāvida pamatskola,64.00%,3,MAT9
Krišjāņa Valdemāra Ainažu pamatskola,54.30%,11,MAT9
Krotes Kronvalda Ata pamatskola,41.87%,10,MAT9
Kruķu pamatskola (strukt.),43.43%,7,MAT9
Krustpils pamatskola,51.13%,20,MAT9
Kuldīgas 2. vidusskola,44.18%,38,MAT9
Kuldīgas Centra vidusskola,57.19%,55,MAT9
Kuldīgas Mākslas un humanitāro zinību vidusskola (prof.),59.67%,16,MAT9
Kuldīgas pamatskola,63.58%,19,MAT9
Kuldīgas pamatskolas Basu filiāle (strukt.),52.33%,4,MAT9
Kusas pamatskola,50.89%,12,MAT9
Ķeguma komercnovirziena vidusskola,57.93%,18,MAT9
Ķeipenes pamatskola,58.48%,7,MAT9
Ķekavas vidusskola,54.25%,70,MAT9
Ķemeru pamatskola,61.17%,8,MAT9
Lāču pamatskola,61.33%,10,MAT9
Lādezera pamatskola,46.96%,9,MAT9
Laidu pamatskola,41.94%,11,MAT9
Lapmežciema pamatskola,58.67%,7,MAT9
Laucesas pamatskola,66.67%,4,MAT9
Laucienes pamatskola,64.24%,11,MAT9
"Laucienes pamatskolas filiāle ""Dursupes pamatskola"" (strukt.)",48.00%,5,MAT9
Lazdonas pamatskola,49.60%,5,MAT9
Lēdmanes pamatskola,60.00%,16,MAT9
Lejasciema vidusskola,45.33%,8,MAT9
Lielvārdes pamatskola,55.15%,25,MAT9
Liepājas 3. pamatskola,56.62%,30,MAT9
Liepājas 7. vidusskola,58.78%,58,MAT9
Liepājas 8. vidusskola,59.15%,44,MAT9
Liepājas A. Puškina 2. vidusskola,61.41%,54,MAT9
Liepājas internātpamatskola,26.08%,16,MAT9
Liepājas Katoļu pamatskola,54.48%,7,MAT9
Liepājas pilsētas 12. vidusskola,48.92%,39,MAT9
Liepājas Raiņa 6. vidusskola,48.41%,69,MAT9
Liepājas vakara (maiņu) vidusskola,44.00%,16,MAT9
Liepājas Valsts 1. ģimnāzija,63.64%,89,MAT9
Liepas pamatskola,46.56%,13,MAT9
Liepnas internātpamatskola,44.22%,12,MAT9
Liepnas vidusskola,67.00%,4,MAT9
Liepu pamatskola (strukt.),50.44%,12,MAT9
Liepupes vidusskola,61.45%,11,MAT9
Liezēres pamatskola,40.33%,8,MAT9
Līgatnes novada vidusskola,60.98%,15,MAT9
Limbažu 3. vidusskola,45.58%,32,MAT9
Limbažu novada ģimnāzija,57.37%,42,MAT9
Litenes pamatskola,55.67%,4,MAT9
Līvānu 1. vidusskola,54.44%,48,MAT9
Līvānu 2. vidusskola,52.14%,19,MAT9
Līvānu novada Vakara (maiņu) vidusskola,39.70%,9,MAT9
Līvbērzes vidusskola,49.50%,8,MAT9
Līvu pamatskola,33.60%,10,MAT9
Lizuma vidusskola,45.13%,13,MAT9
Lubānas vidusskola,49.07%,20,MAT9
Lūcijas Rancānes Makašānu Amatu vidusskola,49.11%,6,MAT9
Ludzas 2. vidusskola,54.94%,29,MAT9
Ludzas novada vakara vidusskola,45.33%,2,MAT9
Ludzas pilsētas ģimnāzija,53.75%,48,MAT9
Madlienas vidusskola,51.22%,17,MAT9
Madonas pilsētas 1. vidusskola,52.89%,30,MAT9
Madonas pilsētas 2. vidusskola,45.82%,19,MAT9
Madonas Vakara un neklātienes vidusskola,26.00%,2,MAT9
Madonas Valsts ģimnāzija,66.97%,39,MAT9
Majoru vidusskola,63.66%,39,MAT9
Malienas pamatskola,55.41%,9,MAT9
Mālpils internātpamatskola (prof.),40.50%,8,MAT9
Mālpils novada vidusskola,50.37%,36,MAT9
Maltas vidusskola,61.83%,43,MAT9
Mālupes pamatskola,61.67%,4,MAT9
Mārsnēnu pamatskola,52.00%,4,MAT9
Mārupes pamatskola,59.75%,16,MAT9
Mārupes vidusskola,61.70%,76,MAT9
Māteru Jura Kazdangas pamatskola,61.05%,14,MAT9
Matīšu pamatskola,52.44%,9,MAT9
Mazozolu filiāle (strukt.),58.67%,6,MAT9
Mazsalacas vidusskola,53.49%,25,MAT9
Mazzalves pamatskola,61.83%,8,MAT9
Medumu pamatskola,56.95%,7,MAT9
Meirānu Kalpaka pamatskola,48.00%,1,MAT9
Meņģeles filiāle (strukt.),58.67%,6,MAT9
Mērdzenes pamatskola,75.11%,3,MAT9
Mērsraga vidusskola,44.53%,15,MAT9
Mētrienas pamatskola,74.67%,1,MAT9
Mežāres pamatskola,56.13%,10,MAT9
Mežciema pamatskola,66.50%,47,MAT9
Mežgaļu pamatskola,46.07%,9,MAT9
Mežinieku pamatskola,47.27%,11,MAT9
Mežotnes pamatskola,48.95%,7,MAT9
Mežvidu pamatskola,46.22%,3,MAT9
Misas vidusskola,34.56%,13,MAT9
Mores pamatskola,56.93%,10,MAT9
Murjāņu sporta ģimnāzija (prof.),52.82%,39,MAT9
Murmastienes pamatskola,56.00%,4,MAT9
Naujenes pamatskola,57.54%,13,MAT9
Naukšēnu novada vidusskola,53.33%,17,MAT9
Nautrēnu vidusskola,52.82%,13,MAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,49.21%,11,MAT9
Nīcas vidusskola,65.60%,15,MAT9
Nīgrandes pagasta Kalnu vidusskola,59.00%,16,MAT9
Nīkrāces pamatskola,61.67%,4,MAT9
Nirzas pamatskola,21.07%,5,MAT9
Nītaures vidusskola,57.33%,10,MAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,55.47%,43,MAT9
Ogres 1. vidusskola,54.00%,80,MAT9
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA (strukt.),41.67%,4,MAT9
Ogres Valsts ģimnāzija,63.94%,71,MAT9
Ogresgala pamatskola,50.51%,17,MAT9
Ojāra Vācieša Gaujienas pamatskola,50.52%,9,MAT9
Olaines 1. vidusskola,56.40%,56,MAT9
Olaines 2. vidusskola,52.17%,55,MAT9
Oskara Kalpaka Liepājas 15. vidusskola,48.46%,55,MAT9
Oskara Kalpaka Rudbāržu pamatskola,66.67%,3,MAT9
Ozolaines pamatskola,43.15%,11,MAT9
Ozolmuižas pamatskola,39.00%,8,MAT9
Ozolnieku vidusskola,64.20%,34,MAT9
Ozolu pamatskola,44.89%,6,MAT9
Pāles pamatskola,44.97%,11,MAT9
Palsmanes pamatskola,50.10%,7,MAT9
"Pamatskola ""Harmonija""",60.27%,5,MAT9
"Pamatskola ""Rīdze""",68.61%,50,MAT9
Pastendes pamatskola,45.23%,13,MAT9
Pāvilostas vidusskola,56.48%,14,MAT9
Pededzes pamatskola,56.38%,7,MAT9
Pelēču pamatskola,65.33%,2,MAT9
Penkules pamatskola,63.11%,9,MAT9
Pildas pamatskola,47.89%,12,MAT9
Pilsrundāles vidusskola (prof.),63.30%,19,MAT9
Piltenes vidusskola,49.63%,9,MAT9
Pļaviņu novada ģimnāzija,57.47%,39,MAT9
Popes pamatskola,53.21%,11,MAT9
Preiļu 1. pamatskola,60.80%,57,MAT9
Preiļu 2. vidusskola,57.13%,13,MAT9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,42.67%,8,MAT9
Priekules vidusskola,40.87%,23,MAT9
Priekuļu vidusskola,57.97%,25,MAT9
Priežmalas pamatskola,56.44%,3,MAT9
"Privātā pamatskola ""Gaismas tilts 97""",80.17%,8,MAT9
"Privātā pamatskola ""Maksima""",73.33%,10,MAT9
Privātā Rīgas Tehnolingvistiskā ģimnāzija,62.33%,4,MAT9
"Privātā vidusskola ""Klasika""",73.33%,7,MAT9
"Privātā vidusskola ""Laisma""",47.11%,3,MAT9
"Privātā vidusskola ""Norma""",48.33%,4,MAT9
"Privātā vidusskola ""Patnis""",67.29%,15,MAT9
"Privātā vidusskola ""RIMS""",67.11%,3,MAT9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,64.00%,16,MAT9
"Privātskola ""Latreia""",87.62%,7,MAT9
"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",55.29%,17,MAT9
Pumpuru vidusskola,54.26%,36,MAT9
Pūņu pamatskola,75.81%,7,MAT9
Pūres pamatskola,49.75%,19,MAT9
Puškina licejs,59.71%,59,MAT9
Pušmucovas pamatskola,48.44%,9,MAT9
Puzes pamatskola,62.44%,6,MAT9
Raiskuma internātpamatskola - rehabilitācijas centrs,52.44%,3,MAT9
Rāmuļu pamatskola,44.89%,3,MAT9
Randenes pamatskola,63.67%,4,MAT9
Rankas pamatskola,59.11%,6,MAT9
Raunas vidusskola,54.00%,12,MAT9
Rekavas vidusskola,56.78%,12,MAT9
Remtes pamatskola,59.47%,5,MAT9
Rencēnu pamatskola,61.17%,8,MAT9
Rēzeknes 2. vidusskola,70.72%,52,MAT9
Rēzeknes 3. vidusskola,63.76%,28,MAT9
Rēzeknes 4. vidusskola,64.99%,27,MAT9
Rēzeknes 5. vidusskola,56.61%,37,MAT9
Rēzeknes 6. vidusskola,67.12%,38,MAT9
Rēzeknes internātpamatskola-attīstības centrs,76.22%,6,MAT9
Rēzeknes Katoļu vidusskola,60.62%,13,MAT9
Rēzeknes Valsts 1. ģimnāzija,66.29%,68,MAT9
Rēzeknes valsts poļu ģimnāzija,56.53%,33,MAT9
Rēznas pamatskola,54.13%,10,MAT9
Riebiņu vidusskola,45.71%,21,MAT9
Rīgas 1. Tālmācības vidusskola,38.51%,25,MAT9
Rīgas 1. vidusskola,32.92%,32,MAT9
Rīgas 10. vidusskola,72.06%,66,MAT9
Rīgas 13. vidusskola,59.10%,34,MAT9
Rīgas 14. vakara (maiņu) vidusskola,26.19%,14,MAT9
Rīgas 15. vidusskola,43.64%,30,MAT9
Rīgas 18. vakara (maiņu) vidusskola,23.56%,9,MAT9
Rīgas 19. vidusskola,50.40%,25,MAT9
Rīgas 21. vidusskola,48.98%,34,MAT9
Rīgas 22. vidusskola,61.86%,46,MAT9
Rīgas 25. vidusskola,54.19%,79,MAT9
Rīgas 28. vidusskola,39.87%,21,MAT9
Rīgas 29. vidusskola,36.00%,10,MAT9
Rīgas 31. vidusskola,52.38%,32,MAT9
Rīgas 33. vidusskola,59.25%,64,MAT9
Rīgas 34. vidusskola,73.44%,89,MAT9
Rīgas 37. vidusskola,59.78%,6,MAT9
Rīgas 40. vidusskola,79.10%,67,MAT9
Rīgas 41. vidusskola,46.84%,30,MAT9
Rīgas 45. vidusskola,45.77%,40,MAT9
Rīgas 46. vidusskola,52.09%,29,MAT9
Rīgas 47. vidusskola,46.47%,48,MAT9
Rīgas 51. vidusskola,60.90%,31,MAT9
Rīgas 53. vidusskola,61.78%,15,MAT9
Rīgas 54. vidusskola,65.73%,20,MAT9
Rīgas 6. vidusskola,55.61%,51,MAT9
Rīgas 60. vidusskola,55.86%,38,MAT9
Rīgas 61. vidusskola,52.67%,20,MAT9
Rīgas 63. vidusskola,49.33%,43,MAT9
Rīgas 64. vidusskola,76.67%,90,MAT9
Rīgas 66. speciālā vidusskola,41.27%,22,MAT9
Rīgas 69. vidusskola,72.35%,19,MAT9
Rīgas 7. pamatskola,28.53%,5,MAT9
Rīgas 71. vidusskola,64.37%,54,MAT9
Rīgas 72. vidusskola,60.27%,94,MAT9
Rīgas 74. vidusskola,62.84%,31,MAT9
Rīgas 75. vidusskola,59.82%,38,MAT9
Rīgas 80. vidusskola,55.22%,65,MAT9
Rīgas 84. vidusskola,69.11%,61,MAT9
Rīgas 85. vidusskola,53.48%,9,MAT9
Rīgas 86. vidusskola,60.11%,49,MAT9
Rīgas 88. vidusskola,56.14%,68,MAT9
Rīgas 89. vidusskola,51.49%,42,MAT9
Rīgas 9. vakara (maiņu) vidusskola,23.52%,28,MAT9
Rīgas 92. vidusskola,52.69%,68,MAT9
Rīgas 93. vidusskola,46.91%,39,MAT9
Rīgas 94. vidusskola,41.61%,24,MAT9
Rīgas 95. vidusskola,68.80%,58,MAT9
Rīgas 96. vidusskola,63.60%,57,MAT9
Rīgas Angļu ģimnāzija,64.02%,77,MAT9
Rīgas Anniņmuižas vidusskola,55.57%,53,MAT9
Rīgas Austrumu vidusskola,48.85%,22,MAT9
Rīgas Avotu pamatskola,43.28%,13,MAT9
Rīgas Centra daiļamatniecības pamatskola,67.70%,35,MAT9
Rīgas Centra humanitārā vidusskola,72.03%,78,MAT9
Rīgas Daugavgrīvas vidusskola,53.45%,33,MAT9
Rīgas Ezerkrastu pamatskola,25.71%,7,MAT9
Rīgas Franču licejs,73.14%,54,MAT9
Rīgas Hanzas vidusskola,55.48%,79,MAT9
Rīgas Igauņu pamatskola,69.11%,12,MAT9
Rīgas Imantas vidusskola,57.46%,53,MAT9
Rīgas Itas Kozakēvičas Poļu vidusskola,59.26%,18,MAT9
Rīgas Jāņa Poruka vidusskola,43.01%,27,MAT9
Rīgas Juglas vidusskola,61.85%,59,MAT9
Rīgas Katoļu ģimnāzija,61.00%,4,MAT9
Rīgas Klasiskā ģimnāzija,63.15%,103,MAT9
Rīgas Kristīgā vidusskola,43.41%,9,MAT9
Rīgas Kultūru vidusskola,57.41%,36,MAT9
Rīgas Ķengaraga vidusskola,46.80%,49,MAT9
Rīgas Lastādijas internātpamatskola,31.69%,13,MAT9
Rīgas Lietuviešu vidusskola,72.55%,29,MAT9
Rīgas Mūzikas internātvidusskola,52.19%,14,MAT9
Rīgas Natālijas Draudziņas vidusskola ,59.85%,36,MAT9
Rīgas Ostvalda vidusskola,68.09%,59,MAT9
Rīgas Pārdaugavas pamatskola,57.62%,23,MAT9
Rīgas pilsētas Pļavnieku ģimnāzija,55.52%,28,MAT9
Rīgas Pļavnieku pamatskola,62.74%,39,MAT9
Rīgas Purvciema vidusskola,62.91%,104,MAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,22.89%,18,MAT9
Rīgas Rīnūžu vidusskola,51.57%,47,MAT9
Rīgas Sergeja Žoltoka vidusskola,56.37%,18,MAT9
Rīgas Tālmācības vidusskola,40.05%,26,MAT9
Rīgas Teikas vidusskola,69.59%,87,MAT9
Rīgas Ukraiņu vidusskola,51.11%,21,MAT9
Rīgas vakara ģimnāzija,43.11%,21,MAT9
Rīgas Valdorfskola,63.00%,16,MAT9
Rīgas Valsts 1. ģimnāzija,96.56%,126,MAT9
Rīgas Valsts 2. ģimnāzija,77.95%,87,MAT9
Rīgas Valsts 3. ģimnāzija,80.07%,120,MAT9
Rīgas Valsts vācu ģimnāzija,61.73%,103,MAT9
Rīgas Zolitūdes ģimnāzija,66.18%,126,MAT9
Rikavas pamatskola (strukt.),76.67%,2,MAT9
Rites pamatskola,54.40%,10,MAT9
Robežnieku pamatskola,44.00%,4,MAT9
Rojas vidusskola,53.08%,26,MAT9
Ropažu vidusskola,41.19%,19,MAT9
Rožupes pamatskola,51.76%,11,MAT9
Rubenes pamatskola,47.79%,13,MAT9
Rubeņu pamatskola,61.50%,8,MAT9
Rucavas pamatskola,45.48%,9,MAT9
Rudes pamatskola,63.67%,4,MAT9
Rudzātu vidusskola,60.53%,10,MAT9
Rugāju novada Eglaines pamatskola,60.40%,10,MAT9
Rugāju novada vidusskola,56.44%,12,MAT9
Rūjienas vidusskola,57.52%,43,MAT9
Rušonas pamatskola,68.00%,6,MAT9
Sabiles vidusskola,55.20%,10,MAT9
Sakstagala Jāņa Klīdzēja pamatskola,47.15%,11,MAT9
Salacgrīvas vidusskola,60.48%,28,MAT9
Salas pamatskola,56.44%,6,MAT9
Salas vidusskola,63.51%,19,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",65.87%,57,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",47.30%,42,MAT9
Saldus novada pašvaldības Cieceres internātpamatskola,39.28%,13,MAT9
Saldus novada pašvaldības Druvas vidusskola,61.64%,22,MAT9
Saldus novada pašvaldības Ezeres pamatskola,58.80%,10,MAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,59.67%,4,MAT9
Saldus novada pašvaldības Kursīšu pamatskola,50.40%,5,MAT9
Saldus novada pašvaldības Lutriņu pamatskola,49.33%,14,MAT9
Saldus novada pašvaldības Pampāļu pamatskola,58.67%,2,MAT9
Saldus novada pašvaldības Rubas pamatskola,64.97%,11,MAT9
Saldus novada pašvaldības Striķu pamatskola,60.44%,6,MAT9
Saldus novada pašvaldības Zirņu pamatskola,57.23%,13,MAT9
Saldus pamatskola,60.07%,19,MAT9
Saldus Vakara vidusskola,33.71%,7,MAT9
Saldus vidusskola,59.23%,69,MAT9
Salgales pamatskola,68.00%,9,MAT9
Salienas vidusskola,49.33%,7,MAT9
Salnavas pamatskola,59.43%,7,MAT9
Saulkrastu vidusskola,56.06%,21,MAT9
Seces pagasta pamatskola,49.14%,14,MAT9
Sējas pamatskola,65.33%,20,MAT9
Sesavas pamatskola,55.08%,13,MAT9
Siguldas 1. pamatskola,58.57%,28,MAT9
Siguldas pilsētas vidusskola,64.08%,35,MAT9
Siguldas Valsts ģimnāzija,72.95%,63,MAT9
Sikšņu pamatskola,57.33%,3,MAT9
Silenes pamatskola,67.11%,6,MAT9
Skaistkalnes vidusskola,45.51%,15,MAT9
Skrundas vidusskola,52.08%,33,MAT9
Slokas pamatskola,56.04%,30,MAT9
Smārdes pamatskola,48.00%,16,MAT9
Smiltenes vidusskola,56.52%,64,MAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",43.24%,7,MAT9
Sproģu pamatskola,40.00%,3,MAT9
Stacijas pamatskola,44.17%,8,MAT9
Stacijas pamatskolas Vīksnas filiāle (strukt.),52.80%,5,MAT9
Staiceles vidusskola,50.67%,14,MAT9
Stāķu pamatskola,44.59%,9,MAT9
Stalbes vidusskola,61.13%,13,MAT9
Staļģenes vidusskola,49.03%,22,MAT9
Stāmerienas pamatskola,35.88%,11,MAT9
Stelpes pamatskola,51.11%,6,MAT9
Stendes pamatskola,48.44%,6,MAT9
Stopiņu pamatskola,52.00%,8,MAT9
Straupes pamatskola,72.15%,9,MAT9
Strautiņu pamatskola,64.74%,9,MAT9
Strenču novada vidusskola,49.87%,30,MAT9
Struktūrvienība Brasas cietumā (strukt.),18.13%,5,MAT9
Subates pamatskola,46.55%,11,MAT9
Sunākstes pamatskola,37.56%,6,MAT9
Suntažu internātpamatskola - rehabilitācijas centrs (prof.),61.78%,6,MAT9
Suntažu vidusskola,65.33%,17,MAT9
Sūnu pamatskola,71.76%,11,MAT9
Sutru pamatskola,53.07%,5,MAT9
Sventes vidusskola,73.67%,8,MAT9
Svētes pamatskola,41.09%,11,MAT9
Š. Dubnova Rīgas Ebreju vidusskola,65.87%,10,MAT9
Šķaunes pamatskola,45.67%,4,MAT9
Šķeltovas pamatskola,61.14%,7,MAT9
Šķibes pamatskola,49.83%,8,MAT9
Špoģu vidusskola,66.07%,27,MAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",57.67%,4,MAT9
Talsu 2. vidusskola,55.43%,49,MAT9
Talsu Kristīgā vidusskola,65.33%,17,MAT9
Talsu novada Vakara un neklātienes vidusskola,30.93%,10,MAT9
Talsu pamatskola,65.00%,20,MAT9
Talsu Valsts ģimnāzija,67.48%,36,MAT9
Tārgales pamatskola,53.24%,14,MAT9
Taurenes pamatskola,46.67%,2,MAT9
Taurupes pamatskola,44.00%,1,MAT9
Teteles pamatskola,53.25%,16,MAT9
Tilžas internātpamatskola,40.00%,3,MAT9
Tilžas vidusskola,68.67%,4,MAT9
Tīnūžu pamatskola,55.07%,10,MAT9
Tirzas pamatskola,53.17%,8,MAT9
Tiskādu vidusskola,53.90%,14,MAT9
Trapenes pamatskola,60.00%,4,MAT9
Trikātas pamatskola,48.48%,11,MAT9
Tukuma 2. pamatskola,60.81%,38,MAT9
Tukuma 2. vidusskola,47.18%,44,MAT9
Tukuma 3. pamatskola,45.14%,14,MAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,61.33%,24,MAT9
Tukuma Raiņa ģimnāzija,71.38%,26,MAT9
Tukuma Vakara un neklātienes vidusskola,29.33%,7,MAT9
Tumes vidusskola,37.29%,28,MAT9
Turlavas pamatskola,38.13%,5,MAT9
Ugāles vidusskola,54.77%,13,MAT9
Ulbrokas vidusskola,55.90%,55,MAT9
Umurgas pamatskola,58.05%,13,MAT9
Upesleju internātpamatskola - rehabilitācijas centrs,31.03%,11,MAT9
Upītes pamatskola,54.67%,8,MAT9
Uzvaras vidusskola,59.24%,14,MAT9
Užavas pamatskola,49.33%,9,MAT9
V. Plūdoņa Kuldīgas ģimnāzija,45.56%,35,MAT9
Vaboles vidusskola,71.83%,8,MAT9
Vaiņodes internātpamatskola,36.92%,13,MAT9
Vaiņodes vidusskola,43.82%,15,MAT9
Vaivaru pamatskola,47.69%,13,MAT9
Valdemārpils vidusskola,61.68%,31,MAT9
Valkas Jāņa Cimzes ģimnāzija,65.83%,40,MAT9
Valmieras 2. vidusskola,48.84%,35,MAT9
Valmieras 5. vidusskola,56.71%,17,MAT9
Valmieras Pārgaujas ģimnāzija,62.79%,85,MAT9
Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),25.90%,7,MAT9
Valmieras Valsts ģimnāzija,65.04%,54,MAT9
Valmieras Viestura vidusskola,59.01%,59,MAT9
Vandzenes pamatskola,49.19%,9,MAT9
Vānes pamatskola,47.67%,4,MAT9
Vangažu vidusskola,53.00%,28,MAT9
Varakļānu novada pašvaldības Stirnienes pamatskola,37.67%,4,MAT9
Varakļānu vidusskola,50.42%,22,MAT9
Variņu pamatskola,37.33%,7,MAT9
Vārkavas vidusskola,52.11%,12,MAT9
Vārmes pamatskola,53.50%,8,MAT9
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola (prof.),58.81%,9,MAT9
Vecpiebalgas konsultpunkts (strukt.),72.89%,3,MAT9
Vecpiebalgas vidusskola,57.64%,13,MAT9
Vecsaules pamatskola,40.53%,10,MAT9
Vecumnieku novada Domes Valles vidusskola,48.78%,12,MAT9
Vecumnieku vidusskola,50.50%,24,MAT9
Ventspils 1. pamatskola,63.77%,29,MAT9
Ventspils 2. pamatskola,55.73%,20,MAT9
Ventspils 2. vidusskola,74.50%,40,MAT9
Ventspils 3. vidusskola,59.37%,34,MAT9
Ventspils 4. vidusskola,70.84%,54,MAT9
Ventspils 6. vidusskola,55.68%,58,MAT9
Ventspils Pārventas pamatskola,48.81%,23,MAT9
Ventspils vakara vidusskola,23.88%,11,MAT9
Ventspils Valsts 1. ģimnāzija,69.20%,62,MAT9
Verēmu pamatskola,61.33%,1,MAT9
Vērgales pamatskola,63.26%,9,MAT9
Vestienas pamatskola,56.44%,6,MAT9
Vidagas Sikšņu pamatskola,49.78%,3,MAT9
Vidrižu pamatskola,53.20%,10,MAT9
Viduču pamatskola,55.26%,9,MAT9
Viesītes vidusskola,59.00%,20,MAT9
Vijciema pamatskola,45.60%,5,MAT9
Vilces pamatskola,46.67%,8,MAT9
Vilgāles pamatskola,32.00%,9,MAT9
Viļakas Valsts ģimnāzija,55.73%,20,MAT9
Viļānu vidusskola,50.44%,53,MAT9
Vīpes pamatskola,46.00%,2,MAT9
Virbu pamatskola,58.13%,10,MAT9
Vircavas vidusskola,46.09%,23,MAT9
Virgas pamatskola,40.44%,3,MAT9
Z.A. Meierovica Kabiles pamatskola,60.19%,7,MAT9
Zaķumuižas pamatskola,64.16%,17,MAT9
Zaļenieku komerciālā un amatniecības vidusskola (prof.),52.33%,12,MAT9
Zasas vidusskola,46.25%,16,MAT9
Zaubes pamatskola,56.89%,3,MAT9
Zemgales vidusskola,55.33%,28,MAT9
Zemītes pamatskola,67.56%,9,MAT9
Ziemeļvalstu ģimnāzija,63.14%,68,MAT9
Ziemeru pamatskola,62.06%,11,MAT9
Zilupes vidusskola,63.47%,30,MAT9
Zūru pamatskola,55.33%,12,MAT9
Zvejniekciema vidusskola,54.21%,26,MAT9
Žīguru pamatskola,52.44%,9,MAT9
